Gene	PFAM.domains
HEP_00493400	NA
HEP_00483000	NA
HEP_00431400	NA
HEP_00041400	NA
HEP_00060000	NA
HEP_00030300	NA
HEP_00292300	Pfam:PF06743.15(FAST_1)
HEP_00199600	NA
HEP_00474300	NA
HEP_00008400	NA
HEP_00183700	NA
HEP_00282900	Pfam:PF00082.22(Peptidase_S8)
HEP_00345900	NA
HEP_00081400	NA
HEP_00026600	NA
HEP_00422600	NA
HEP_00332500	NA
HEP_00162300	Pfam:PF07690.16(MFS_1),Pfam:PF00083.24(Sugar_tr)
HEP_00237900	NA
HEP_00326400	NA
HEP_00289100	NA
HEP_00160400	Pfam:PF00076.22(RRM_1)
HEP_00156900	Pfam:PF12947.7(EGF_3),Pfam:PF12946.7(EGF_MSP1_1)
HEP_00248500	NA
HEP_00441300	NA
HEP_00027900	NA
HEP_00198800	NA
HEP_00207300	NA
HEP_00383900	NA
HEP_00144100	NA
HEP_00171800	NA
HEP_00308900	NA
HEP_00459800	NA
HEP_00321700	NA
HEP_00292000	Pfam:PF07382.11(HC2),Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00381700	NA
HEP_00132200	NA
HEP_00425300	NA
HEP_00177300	NA
HEP_00128300	NA
HEP_00125700	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00492300	Pfam:PF07382.11(HC2),Pfam:PF08711.11(Med26)
HEP_00118900	NA
HEP_00454700	NA
HEP_00445400	NA
HEP_00114600	NA
HEP_00464100	NA
HEP_00092600	NA
HEP_00202200	NA
HEP_00024100	Pfam:PF00400.32(WD40)
HEP_00058600	NA
HEP_00391200	NA
HEP_00402900	NA
HEP_00355000	Pfam:PF07422.13(s48_45)
HEP_00169900	NA
HEP_00265200	NA
HEP_00082900	NA
HEP_00357000	NA
HEP_00463700	NA
HEP_00287100	NA
HEP_00081000	NA
HEP_00274400	NA
HEP_00200200	NA
HEP_00043800	Pfam:PF12542.8(CWC25)
HEP_00111600	NA
HEP_00354100	Pfam:PF00415.18(RCC1),Pfam:PF13540.6(RCC1_2)
HEP_00184700	NA
HEP_00159800	Pfam:PF03561.15(Allantoicase)
HEP_00183300	NA
HEP_00235100	Pfam:PF00225.23(Kinesin)
HEP_00064100	NA
HEP_00107500	NA
HEP_00084800	NA
HEP_00520700	NA
HEP_00361600	NA
HEP_00027400	Pfam:PF04427.18(Brix)
HEP_00333500	NA
HEP_00350100	Pfam:PF00023.30(Ank),Pfam:PF12796.7(Ank_2),Pfam:PF13606.6(Ank_3),Pfam:PF13637.6(Ank_4),Pfam:PF13857.6(Ank_5),Pfam:PF10258.9(RNA_GG_bind)
HEP_00409600	NA
HEP_00114500	NA
HEP_00027000	Pfam:PF02029.15(Caldesmon),Pfam:PF10699.9(HAP2-GCS1)
HEP_00008800	Pfam:PF09073.10(BUD22)
HEP_00404900	NA
HEP_00230100	NA
HEP_00055100	NA
HEP_00483100	Pfam:PF00642.24(zf-CCCH),Pfam:PF18044.1(zf-CCCH_4),Pfam:PF18345.1(zf_CCCH_4)
HEP_00220300	NA
HEP_00411300	Pfam:PF00271.31(Helicase_C),Pfam:PF00176.23(SNF2_N),Pfam:PF13639.6(zf-RING_2)
HEP_00316100	Pfam:PF07500.14(TFIIS_M)
HEP_00536600	NA
HEP_00112800	NA
HEP_00431200	NA
HEP_00437200	NA
HEP_00154400	Pfam:PF03630.14(Fumble),Pfam:PF10500.9(SR-25)
HEP_00294100	NA
HEP_00119900	Pfam:PF00249.31(Myb_DNA-binding),Pfam:PF00569.17(ZZ)
HEP_00243400	Pfam:PF12314.8(IMCp)
HEP_00053000	NA
HEP_00176100	Pfam:PF14733.6(ACDC)
HEP_00101300	NA
HEP_00218700	Pfam:PF08648.12(SNRNP27)
HEP_00190100	NA
HEP_00155700	Pfam:PF04145.15(Ctr)
HEP_00353200	Pfam:PF12678.7(zf-rbx1),Pfam:PF13639.6(zf-RING_2)
HEP_00063900	NA
HEP_00369300	Pfam:PF00439.25(Bromodomain)
HEP_00382400	Pfam:PF00244.20(14-3-3)
HEP_00093800	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00190300	NA
HEP_00305100	Pfam:PF03715.13(Noc2)
HEP_00038400	NA
HEP_00237200	NA
HEP_00313800	NA
HEP_00482500	Pfam:PF05890.12(Ebp2)
HEP_00450500	NA
HEP_00409300	NA
HEP_00282500	Pfam:PF00806.19(PUF)
HEP_00275500	NA
HEP_00049000	Pfam:PF00847.20(AP2)
HEP_00151500	NA
HEP_00104500	Pfam:PF02389.15(Cornifin),Pfam:PF08662.11(eIF2A)
HEP_00213500	Pfam:PF07422.13(s48_45)
HEP_00411400	NA
HEP_00040600	NA
HEP_00314500	NA
HEP_00476600	NA
HEP_00332100	NA
HEP_00410200	Pfam:PF00847.20(AP2)
HEP_00153300	Pfam:PF10253.9(PRCC)
HEP_00138400	NA
HEP_00184800	NA
HEP_00067700	Pfam:PF06775.14(Seipin)
HEP_00067100	NA
HEP_00011200	NA
HEP_00357200	NA
HEP_00510900	NA
HEP_00255000	NA
HEP_00209900	NA
HEP_00467500	NA
HEP_00104100	NA
HEP_00238600	Pfam:PF14733.6(ACDC),Pfam:PF00847.20(AP2)
HEP_00009600	NA
HEP_00010700	NA
HEP_00515700	NA
HEP_00237800	NA
HEP_00322800	NA
HEP_00020800	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00344300	Pfam:PF06058.13(DCP1)
HEP_00113100	NA
HEP_00314000	Pfam:PF07699.13(Ephrin_rec_like)
HEP_00317900	NA
HEP_00314600	Pfam:PF01744.20(GLTT),Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00284300	NA
HEP_00379700	NA
HEP_00498400	Pfam:PF05427.11(FIBP)
HEP_00473300	NA
HEP_00394900	Pfam:PF14733.6(ACDC),Pfam:PF00847.20(AP2)
HEP_00097900	Pfam:PF01417.20(ENTH)
HEP_00378400	Pfam:PF06337.12(DUSP),Pfam:PF00443.29(UCH)
HEP_00190400	Pfam:PF13019.6(Sde2_N_Ubi)
HEP_00297400	NA
HEP_00469100	NA
HEP_00357400	NA
HEP_00090400	NA
HEP_00171400	Pfam:PF01778.17(Ribosomal_L28e)
HEP_00005400	NA
HEP_00463800	Pfam:PF06247.11(Plasmod_Pvs28)
HEP_00104300	Pfam:PF02582.14(DUF155)
HEP_00070800	Pfam:PF04100.12(Vps53_N)
HEP_00103100	Pfam:PF07382.11(HC2)
HEP_00498700	NA
HEP_00185700	Pfam:PF00225.23(Kinesin)
HEP_00023000	NA
HEP_00173800	Pfam:PF02493.20(MORN)
HEP_00139600	NA
HEP_00226400	NA
HEP_00222400	NA
HEP_00020200	NA
HEP_00112600	NA
HEP_00156200	NA
HEP_00452400	Pfam:PF02493.20(MORN)
HEP_00387700	NA
HEP_00359400	NA
HEP_00132800	NA
HEP_00061000	Pfam:PF00400.32(WD40)
HEP_00259200	Pfam:PF00561.20(Abhydrolase_1),Pfam:PF01738.18(DLH),Pfam:PF12146.8(Hydrolase_4),Pfam:PF00326.21(Peptidase_S9)
HEP_00143700	Pfam:PF04153.18(NOT2_3_5)
HEP_00064200	Pfam:PF18659.1(CelTOS)
HEP_00130200	NA
HEP_00028100	NA
HEP_00437900	NA
HEP_00174500	NA
HEP_00504100	Pfam:PF00011.21(HSP20)
HEP_00257900	NA
HEP_00062200	NA
HEP_00333000	NA
HEP_00382000	NA
HEP_00053300	Pfam:PF00076.22(RRM_1)
HEP_00461600	NA
HEP_00102400	NA
HEP_00051400	NA
HEP_00327400	NA
HEP_00285000	NA
HEP_00186200	Pfam:PF00076.22(RRM_1)
HEP_00389600	Pfam:PF01391.18(Collagen)
HEP_00211300	Pfam:PF06589.11(CRA)
HEP_00246000	Pfam:PF02493.20(MORN)
HEP_00025200	NA
HEP_00019000	NA
HEP_00020600	Pfam:PF01142.18(TruD)
HEP_00354700	NA
HEP_00311400	NA
HEP_00205700	NA
HEP_00269800	Pfam:PF01391.18(Collagen),Pfam:PF04142.15(Nuc_sug_transp)
HEP_00483400	Pfam:PF17404.2(Nrap_D3)
HEP_00195900	NA
HEP_00390900	NA
HEP_00458200	NA
HEP_00403500	Pfam:PF18638.1(CyRPA)
HEP_00493600	NA
HEP_00220500	Pfam:PF07699.13(Ephrin_rec_like)
HEP_00178400	Pfam:PF02493.20(MORN)
HEP_00304600	NA
HEP_00083900	Pfam:PF07382.11(HC2),Pfam:PF09409.10(PUB)
HEP_00061800	NA
HEP_00137500	NA
HEP_00364500	NA
HEP_00374100	Pfam:PF13086.6(AAA_11),Pfam:PF13087.6(AAA_12),Pfam:PF13245.6(AAA_19),Pfam:PF13604.6(AAA_30)
HEP_00064600	NA
HEP_00286100	Pfam:PF14733.6(ACDC),Pfam:PF00847.20(AP2)
HEP_00213600	NA
HEP_00029900	Pfam:PF00076.22(RRM_1)
HEP_00435000	Pfam:PF13599.6(Pentapeptide_4)
HEP_00147600	NA
HEP_00312800	NA
HEP_00479200	NA
HEP_00264100	Pfam:PF12009.8(Telomerase_RBD)
HEP_00347100	NA
HEP_00091900	NA
HEP_00386500	NA
HEP_00088000	NA
HEP_00415400	NA
HEP_00170400	Pfam:PF13599.6(Pentapeptide_4)
HEP_00005000	Pfam:PF14418.6(OHA)
HEP_00450800	NA
HEP_00057400	Pfam:PF02213.16(GYF)
HEP_00201500	NA
HEP_00357800	NA
HEP_00037100	NA
HEP_00167200	Pfam:PF00687.21(Ribosomal_L1)
HEP_00015900	NA
HEP_00078000	Pfam:PF00400.32(WD40)
HEP_00428200	NA
HEP_00389700	NA
HEP_00481200	Pfam:PF13202.6(EF-hand_5),Pfam:PF13405.6(EF-hand_6),Pfam:PF13499.6(EF-hand_7)
HEP_00495100	NA
HEP_00022800	NA
HEP_00264800	Pfam:PF02301.18(HORMA)
HEP_00434300	NA
HEP_00329500	NA
HEP_00338200	NA
HEP_00190000	NA
HEP_00129800	Pfam:PF00632.25(HECT)
HEP_00388400	NA
HEP_00052700	NA
HEP_00277000	NA
HEP_00533300	NA
HEP_00120400	NA
HEP_00380800	Pfam:PF00400.32(WD40),Pfam:PF17005.5(WD40_like)
HEP_00385600	Pfam:PF01529.20(DHHC)
HEP_00141900	NA
HEP_00239700	Pfam:PF09736.9(Bud13)
HEP_00200100	NA
HEP_00359700	NA
HEP_00030200	NA
HEP_00232600	NA
HEP_00266200	NA
HEP_00144800	NA
HEP_00094800	NA
HEP_00218300	Pfam:PF13771.6(zf-HC5HC2H),Pfam:PF13832.6(zf-HC5HC2H_2)
HEP_00011800	NA
HEP_00526400	Pfam:PF18680.1(SPECT1)
HEP_00406800	NA
HEP_00210000	NA
HEP_00124300	NA
HEP_00262400	NA
HEP_00420700	NA
HEP_00211700	NA
HEP_00285600	Pfam:PF04886.12(PT),Pfam:PF04181.13(RPAP2_Rtr1)
HEP_00055900	NA
HEP_00035000	Pfam:PF00112.23(Peptidase_C1)
HEP_00418300	NA
HEP_00123100	Pfam:PF04152.14(Mre11_DNA_bind)
HEP_00330300	NA
HEP_00231200	NA
HEP_00410400	Pfam:PF00076.22(RRM_1)
HEP_00075200	Pfam:PF08312.12(cwf21)
HEP_00402000	NA
HEP_00148600	NA
HEP_00276900	NA
HEP_00043000	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00204100	NA
HEP_00509300	NA
HEP_00081300	NA
HEP_00042300	Pfam:PF07382.11(HC2)
HEP_00283200	NA
HEP_00535300	NA
HEP_00134200	NA
HEP_00184500	Pfam:PF08585.12(RMI1_N)
HEP_00259700	NA
HEP_00293900	Pfam:PF00271.31(Helicase_C)
HEP_00147200	NA
HEP_00157800	NA
HEP_00328900	NA
HEP_00265700	Pfam:PF10403.9(BHD_1)
HEP_00410000	NA
HEP_00096500	Pfam:PF01469.18(Pentapeptide_2)
HEP_00377300	Pfam:PF10846.8(DUF2722)
HEP_00304200	NA
HEP_00360700	NA
HEP_00242700	NA
HEP_00242200	NA
HEP_00479300	NA
HEP_00353400	Pfam:PF00076.22(RRM_1)
HEP_00164400	NA
HEP_00051000	NA
HEP_00413700	Pfam:PF00076.22(RRM_1)
HEP_00066600	Pfam:PF00888.22(Cullin),Pfam:PF10557.9(Cullin_Nedd8)
HEP_00228400	NA
HEP_00382800	Pfam:PF02854.19(MIF4G)
HEP_00336100	NA
HEP_00067200	NA
HEP_00354200	Pfam:PF01391.18(Collagen)
HEP_00344000	Pfam:PF00106.25(adh_short),Pfam:PF13561.6(adh_short_C2)
HEP_00179600	Pfam:PF08373.10(RAP)
HEP_00023800	Pfam:PF12237.8(PCIF1_WW)
HEP_00133100	NA
HEP_00138500	Pfam:PF00462.24(Glutaredoxin)
HEP_00499600	NA
HEP_00268800	NA
HEP_00406400	Pfam:PF00144.24(Beta-lactamase)
HEP_00145700	Pfam:PF04777.13(Evr1_Alr)
HEP_00396500	Pfam:PF03937.16(Sdh5)
HEP_00429200	Pfam:PF03941.15(INCENP_ARK-bind)
HEP_00318700	NA
HEP_00134800	Pfam:PF07382.11(HC2)
HEP_00194700	Pfam:PF01868.16(UPF0086)
HEP_00350600	Pfam:PF00036.32(EF-hand_1),Pfam:PF13405.6(EF-hand_6),Pfam:PF13499.6(EF-hand_7)
HEP_00509800	NA
HEP_00393100	Pfam:PF13476.6(AAA_23),Pfam:PF13555.6(AAA_29),Pfam:PF02463.19(SMC_N)
HEP_00074600	Pfam:PF07646.15(Kelch_2),Pfam:PF13415.6(Kelch_3),Pfam:PF13418.6(Kelch_4),Pfam:PF13854.6(Kelch_5),Pfam:PF13964.6(Kelch_6)
HEP_00478600	NA
HEP_00424500	Pfam:PF15247.6(SLBP_RNA_bind)
HEP_00284100	NA
HEP_00453500	NA
HEP_00154800	NA
HEP_00016500	Pfam:PF00153.27(Mito_carr)
HEP_00059300	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C),Pfam:PF04851.15(ResIII)
HEP_00481900	NA
HEP_00056200	NA
HEP_00351800	Pfam:PF07818.13(HCNGP)
HEP_00075500	NA
HEP_00373200	NA
HEP_00303100	NA
HEP_00197600	NA
HEP_00225900	NA
HEP_00109300	NA
HEP_00131600	NA
HEP_00329900	NA
HEP_00449200	Pfam:PF16690.5(MMACHC)
HEP_00292900	NA
HEP_00224600	NA
HEP_00083000	NA
HEP_00331800	NA
HEP_00082200	Pfam:PF01764.25(Lipase_3)
HEP_00336700	Pfam:PF14531.6(Kinase-like),Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00354800	NA
HEP_00470200	NA
HEP_00007600	Pfam:PF13920.6(zf-C3HC4_3),Pfam:PF14570.6(zf-RING_4)
HEP_00371300	NA
HEP_00502800	Pfam:PF00808.23(CBFD_NFYB_HMF),Pfam:PF03847.13(TFIID_20kDa)
HEP_00219000	NA
HEP_00043100	NA
HEP_00528700	NA
HEP_00080600	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00194100	NA
HEP_00081800	NA
HEP_00093100	NA
HEP_00426700	NA
HEP_00305500	NA
HEP_00073100	Pfam:PF00875.18(DNA_photolyase)
HEP_00203300	NA
HEP_00309000	NA
HEP_00322200	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00100500	NA
HEP_00087700	NA
HEP_00088800	Pfam:PF02891.20(zf-MIZ)
HEP_00397000	NA
HEP_00156100	NA
HEP_00069700	NA
HEP_00119200	Pfam:PF01974.17(tRNA_int_endo)
HEP_00425700	Pfam:PF00588.19(SpoU_methylase)
HEP_00349900	Pfam:PF00249.31(Myb_DNA-binding),Pfam:PF13921.6(Myb_DNA-bind_6)
HEP_00034100	Pfam:PF00069.25(Pkinase)
HEP_00234500	Pfam:PF00664.23(ABC_membrane)
HEP_00206400	Pfam:PF00650.20(CRAL_TRIO)
HEP_00298100	NA
HEP_00168000	NA
HEP_00153400	Pfam:PF01926.23(MMR_HSR1)
HEP_00419300	NA
HEP_00215600	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00283700	Pfam:PF18199.1(Dynein_C)
HEP_00141300	Pfam:PF08839.11(CDT1)
HEP_00246500	NA
HEP_00051300	NA
HEP_00031900	NA
HEP_00352500	NA
HEP_00453400	NA
HEP_00226800	Pfam:PF06677.12(Auto_anti-p27)
HEP_00105800	NA
HEP_00090200	NA
HEP_00308000	NA
HEP_00122500	NA
HEP_00341600	NA
HEP_00125200	NA
HEP_00014700	Pfam:PF13920.6(zf-C3HC4_3),Pfam:PF12678.7(zf-rbx1),Pfam:PF17123.5(zf-RING_11),Pfam:PF13639.6(zf-RING_2),Pfam:PF14634.6(zf-RING_5)
HEP_00136100	Pfam:PF08373.10(RAP)
HEP_00312400	NA
HEP_00459700	Pfam:PF03054.16(tRNA_Me_trans)
HEP_00211900	NA
HEP_00255200	Pfam:PF00415.18(RCC1),Pfam:PF13540.6(RCC1_2)
HEP_00422000	NA
HEP_00153900	Pfam:PF00415.18(RCC1),Pfam:PF13540.6(RCC1_2)
HEP_00017400	NA
HEP_00236000	Pfam:PF00643.24(zf-B_box)
HEP_00398000	Pfam:PF01909.23(NTP_transf_2)
HEP_00251800	Pfam:PF01823.19(MACPF)
HEP_00503000	NA
HEP_00418500	Pfam:PF08264.13(Anticodon_1),Pfam:PF00133.22(tRNA-synt_1)
HEP_00347450	NA
HEP_00500100	Pfam:PF04791.16(LMBR1)
HEP_00492700	NA
HEP_00088400	Pfam:PF00249.31(Myb_DNA-binding),Pfam:PF13921.6(Myb_DNA-bind_6)
HEP_00433600	NA
HEP_00282100	NA
HEP_00317800	NA
HEP_00422800	NA
HEP_00363200	NA
HEP_00283800	NA
HEP_00510600	NA
HEP_00297900	NA
HEP_00007000	NA
HEP_00129300	NA
HEP_00304100	NA
HEP_00257200	Pfam:PF16858.5(CNDH2_C),Pfam:PF06278.11(CNDH2_N)
HEP_00327200	NA
HEP_00163200	NA
HEP_00090500	NA
HEP_00302400	NA
HEP_00496800	NA
HEP_00123500	NA
HEP_00021200	Pfam:PF00076.22(RRM_1),Pfam:PF07744.13(SPOC)
HEP_00122900	Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00459000	NA
HEP_00103000	NA
HEP_00279200	NA
HEP_00101700	NA
HEP_00208300	NA
HEP_00291400	Pfam:PF10394.9(Hat1_N)
HEP_00021300	NA
HEP_00168800	NA
HEP_00287800	NA
HEP_00120900	NA
HEP_00185200	Pfam:PF00334.19(NDK)
HEP_00162000	NA
HEP_00079200	Pfam:PF05096.12(Glu_cyclase_2)
HEP_00295900	Pfam:PF07738.13(Sad1_UNC)
HEP_00278800	Pfam:PF01652.18(IF4E)
HEP_00307400	NA
HEP_00228000	Pfam:PF08600.10(Rsm1),Pfam:PF07967.13(zf-C3HC)
HEP_00204800	NA
HEP_00104600	NA
HEP_00218600	NA
HEP_00319600	NA
HEP_00467800	NA
HEP_00441500	NA
HEP_00326500	Pfam:PF00481.21(PP2C)
HEP_00244900	NA
HEP_00130900	Pfam:PF01876.16(RNase_P_p30)
HEP_00075000	NA
HEP_00188100	NA
HEP_00393500	NA
HEP_00270800	NA
HEP_00410100	Pfam:PF06293.14(Kdo),Pfam:PF14531.6(Kinase-like),Pfam:PF00069.25(Pkinase),Pfam:PF07714.17(Pkinase_Tyr)
HEP_00425100	NA
HEP_00332800	NA
HEP_00269700	NA
HEP_00331000	NA
HEP_00104200	Pfam:PF01744.20(GLTT),Pfam:PF01344.25(Kelch_1),Pfam:PF13415.6(Kelch_3),Pfam:PF13418.6(Kelch_4),Pfam:PF13854.6(Kelch_5),Pfam:PF13964.6(Kelch_6),Pfam:PF02475.16(Met_10),Pfam:PF02676.14(TYW3)
HEP_00088300	NA
HEP_00088900	NA
HEP_00140800	Pfam:PF00630.19(Filamin)
HEP_00128200	Pfam:PF05642.11(Sporozoite_P67)
HEP_00456000	Pfam:PF01250.17(Ribosomal_S6)
HEP_00246900	NA
HEP_00365700	NA
HEP_00036200	NA
HEP_00034500	NA
HEP_00284200	Pfam:PF03034.15(PSS)
HEP_00357500	NA
HEP_00486900	NA
HEP_00388300	NA
HEP_00071700	NA
HEP_00196300	NA
HEP_00255500	Pfam:PF00226.31(DnaJ)
HEP_00102000	Pfam:PF00307.31(CH)
HEP_00152500	NA
HEP_00423900	NA
HEP_00015300	NA
HEP_00448200	NA
HEP_00266800	Pfam:PF00013.29(KH_1),Pfam:PF14611.6(SLS)
HEP_00333900	NA
HEP_00118700	NA
HEP_00255700	NA
HEP_00281200	Pfam:PF12936.7(Kri1_C)
HEP_00409700	NA
HEP_00501800	NA
HEP_00034400	Pfam:PF13476.6(AAA_23),Pfam:PF07889.12(DUF1664),Pfam:PF06009.12(Laminin_II),Pfam:PF02463.19(SMC_N)
HEP_00176400	Pfam:PF13771.6(zf-HC5HC2H),Pfam:PF13832.6(zf-HC5HC2H_2)
HEP_00322100	NA
HEP_00316700	Pfam:PF05502.13(Dynactin_p62)
HEP_00386100	NA
HEP_00450100	Pfam:PF00270.29(DEAD),Pfam:PF00271.31(Helicase_C),Pfam:PF04851.15(ResIII)
HEP_00367100	NA
HEP_00487900	NA
HEP_00495000	Pfam:PF01391.18(Collagen),Pfam:PF01416.20(PseudoU_synth_1)
HEP_00411200	NA
HEP_00230500	NA
HEP_00237600	NA
HEP_00310600	Pfam:PF01744.20(GLTT)
HEP_00400000	NA
HEP_00024800	NA
HEP_00325950	Pfam:PF00082.22(Peptidase_S8)
HEP_00182400	NA
HEP_00078100	NA
HEP_00213000	Pfam:PF14608.6(zf-CCCH_2)
HEP_00415800	NA
HEP_00340900	NA
HEP_00015400	NA
HEP_00134600	Pfam:PF08159.12(NUC153)
HEP_00200300	NA
HEP_00392900	NA
HEP_00101000	Pfam:PF01096.18(TFIIS_C)
HEP_00446800	NA
HEP_00037400	NA
HEP_00259500	NA
HEP_00389800	NA
HEP_00286500	NA
HEP_00008600	NA
HEP_00314800	Pfam:PF12348.8(CLASP_N)
HEP_00341400	NA
HEP_00100700	NA
HEP_00331300	NA
HEP_00315200	Pfam:PF00226.31(DnaJ)
HEP_00242500	Pfam:PF00076.22(RRM_1)
HEP_00094600	Pfam:PF00787.24(PX)
HEP_00436300	NA
